Description,Commenting,Ogling/Facial Expressions/Staring,Touching /Groping
"as I was taking my son to school in  the morning, I met an old man wo touched my buttocks.  When I asked he wanted to beat me up till I ran to the DO's place to report",0,0,0
"at evening time ,while returning from tutions ,i face comments n all.",1,0,0
it was really bad.,1,1,0
"A group of young boys who cluster together in a group, usually cat call or comment at women who pass by.",1,0,0
"happened in the main market, a group of boys passed by and started commenting",1,0,0
A teacher touched my private parts when I left the toilet,0,0,1
a car inviting by hooting to sit in the car,0,0,0
"The incident took place when I was in college. While passing through the corridors group of boys, they used to pass comments and tease. This situation discouraged me to walk through the corridor.",1,0,0
Two men on a bike tried snatching my dupatta and passed lewd comments when i was resisting it.,1,0,1
"this happened around 730800 pm where i was waiting for the train to come at the platform of laxminagar, at that time some boys tried to touch me and comment.",1,0,0
a friend of mine was abused by a man in the market. he passed dirty comments and tried touching her inappropriately,0,0,1
"she was sent to a neighbour by the grandparents to ask for some little salt.the neighbour saw her and wanted to touch her,she ran",0,0,1
"I was walking at 8pm, Ahmedabad, behind Gujurat University, a man followed me, when there was a space in the street he grabbed me by both hands, I shout as loud as possible and run away to the police station. He didn't follow me.",0,0,0
A group of boys followed us and asked us for our number,0,0,0
comments passed at me and my group nearby the ticket counter.,1,0,0
outside the metro station there are auto rickshaw vallas standing at literally holding the people's hand to let them sit in their vehicle.,0,0,1
"it was raining at 800 p.m. and a stranger gave me lift. I sat behind with other two men.  They passed my alighting point and when I asked loudly my mouth was covered, the two men raped me and  dropped me at Kangemi.",0,0,0
i heard lots of man saying bad and vulgar words in public place even tries to touch my body parts and whistles.,1,1,1
"This incident took place in the evening,an year ago.A person was exposing private parts,inviting for sexual activity.A person was in a car and stopped for directions and was sitting naked in the car.",0,0,0
While walking some men or say boys were staring and commenting.It happened in the evening.,1,1,0
I have been teased badly my boys on the streets.,1,1,0
Boys touched me and i felt very bad to go outside of home,0,0,0
"I was outside a shop waiting for someone when a man came from behind and touched me, commented something and walked away.",1,0,1
harrased in the evening,1,0,0
there was a conductor who was trying trying to touch my body of a girl inside a micro bus.,0,0,1
"i was travelling in a crowded bus. when a guy standing very close to me tried making attempts to touch me inappropriately, and when i defended myself he moved forward.",0,0,1
A man followed us from andheri station to bandra station,0,0,0
harassment in the afternoon,1,0,0
The lanes to the chawls are narrow and boys stand just outside the lanes and don't give way for the women to pass. They pass comments on them and sing songs as well. There is also a group of boys who pays carom on the road.,1,1,0
followed by a man,0,0,0
I was entering the metro when someone touched my butt and breast,0,0,1
"It happened during afternoon hours while travelling in metro , people of all age groups were constantly staring and commenting .",1,1,0
This survey is carried out by safecity (Red dot foundation) along with its safety audit at street markets in Mumbai.,1,1,1
there were some boys in the shop were staring and commenting at girls,1,0,0
I saw a girl wearing and walking in a road. A man stretched her skirt and went away.,0,0,1
a man grabbed my dupatta and tried touching my breasts. it was dark and happened near balaji chowk,0,0,1
"while returning home from work on a public vehicle, a man sitting next to me kept his hand on my thigh amp tried to get close to me.",0,0,1
Some boys were passing bad comments on me and my friends,1,1,0
chain snatching,0,0,0
A man was sitting along the railway line and told us that we are to old to continue with school,1,0,0
"touching , groping",0,1,1
Lucy a physically diasbled child assaulted by the stepmother get physical injuries the child was rescued and taken to a safe house,0,0,0
People are touching and groping at khot lane. Commenting at staring at you.,1,0,1
"On the way to my house from kanhaiya nagar metro station,a group of government school boys came near me,made a group around me and snatched my headphones so hard that it broke up and started commenting.It happened around 3 pm.",1,0,1
